,SITE,SOIL,TIME,HOST,TISSUE,TEMP,MEDIA,season,IR,richness.art1Arid
MSHM3786,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,1,1
MSHM3789,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3790,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3791,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3799,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,1,1
MSHM3800,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,2,1
MSHM3801,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,1,1
MSHM3803,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,30,PDA+Plant extract,Winter,3,1
MSHM3818,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM3821,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,2,1
MSHM3824,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA,Winter,2,1
MSHM3825,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA,Winter,1,1
MSHM3826,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA,Winter,1,1
MSHM3827,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA,Winter,2,1
MSHM3830,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,1,1
MSHM3832,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,2,1
MSHM3836,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3838,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,3,1
MSHM3840,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3847,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,1,1
MSHM3848,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,2,1
MSHM3849,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,2,1
MSHM3850,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,30,PDA+Plant extract,Winter,1,1
MSHM3851,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,30,PDA+Plant extract,Winter,2,1
MSHM3852,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,30,PDA+Plant extract,Winter,3,1
MSHM3865,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM3868,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM3871,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA,Winter,1,1
MSHM3872,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA,Winter,1,1
MSHM3878,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,1,1
MSHM3881,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,1,1
MSHM3883,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,2,1
MSHM3884,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,2,1
MSHM3887,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,2,1
MSHM3888,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3895,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,1,1
MSHM3897,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,1,1
MSHM3898,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,30,PDA+Plant extract,Winter,3,1
MSHM3899,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,30,PDA+Plant extract,Winter,1,1
MSHM3913,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,2,1
MSHM3914,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM3915,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM3917,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM3918,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM3921,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA,Winter,1,1
MSHM3925,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,1,1
MSHM3926,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,1,1
MSHM3927,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,3,1
MSHM3931,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3933,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3934,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3935,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3936,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3944,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,1,1
MSHM3946,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,30,PDA+Plant extract,Winter,1,1
MSHM3962,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM3965,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM3966,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM3970,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA,Winter,1,1
MSHM3973,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,2,1
MSHM3978,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,2,1
MSHM3980,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,4,1
MSHM3981,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3983,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3984,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,1,1
MSHM3991,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,2,1
MSHM3992,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,1,1
MSHM3993,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,23,PDA+Plant extract,Winter,1,1
MSHM3994,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,30,PDA+Plant extract,Winter,2,1
MSHM3996,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Leaf,30,PDA+Plant extract,Winter,1,1
MSHM4009,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM4011,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,1,1
MSHM4014,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA,Winter,2,1
MSHM4017,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA,Winter,2,1
MSHM4020,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA,Winter,1,1
MSHM4021,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,1,1
MSHM4026,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,23,PDA+Plant extract,Winter,3,1
MSHM4030,Rig-Boland Desert,Arid soil,Winter,Calligonum comosum,Root,30,PDA+Plant extract,Winter,2,1
MSHM4897,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,1,1
MSHM4898,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,1,1
MSHM4901,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA,Winter,1,1
MSHM4903,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,2,2
MSHM4904,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,2,2
MSHM4905,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,3,1
MSHM4906,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,1,1
MSHM4907,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,1,1
MSHM4908,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,4,2
MSHM4927,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM4928,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM4929,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,2,1
MSHM4930,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM4939,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM4940,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM4941,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM4942,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM4943,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,2,1
MSHM4944,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM4945,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,1,1
MSHM4946,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,1,1
MSHM4947,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,1,1
MSHM4948,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA,Winter,3,1
MSHM4950,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA,Winter,1,1
MSHM4951,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,3,1
MSHM4952,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,4,2
MSHM4953,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,2,2
MSHM4954,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,3,2
MSHM4955,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,3,2
MSHM4956,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,5,2
MSHM4975,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM4976,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM4977,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,2,1
MSHM4978,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM4979,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,2,1
MSHM4980,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,2,1
MSHM4982,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,23,PDA+Plant extract,Winter,1,1
MSHM4987,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM4988,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,3,1
MSHM4990,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM4991,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM4992,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,2,1
MSHM4993,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,2,1
MSHM4994,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,3,1
MSHM4997,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA,Winter,1,1
MSHM4998,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA,Winter,1,1
MSHM4999,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,2,2
MSHM5000,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,3,1
MSHM5001,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,1,1
MSHM5002,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,1,1
MSHM5003,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,4,2
MSHM5004,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,4,2
MSHM5023,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM5026,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,2,1
MSHM5027,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM5037,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM5038,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM5039,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,2,1
MSHM5040,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM5041,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,1,1
MSHM5042,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,2,1
MSHM5043,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,1,1
MSHM5044,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA,Winter,2,1
MSHM5045,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA,Winter,1,1
MSHM5046,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA,Winter,1,1
MSHM5047,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,5,2
MSHM5048,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,2,2
MSHM5049,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,1,1
MSHM5050,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,2,2
MSHM5051,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,1,1
MSHM5052,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,5,2
MSHM5071,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,2,1
MSHM5073,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM5075,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM5076,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM5081,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,23,PDA+Plant extract,Winter,2,1
MSHM5084,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM5085,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM5086,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM5087,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,2,1
MSHM5088,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM5089,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,1,1
MSHM5090,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,3,1
MSHM5092,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA,Winter,1,1
MSHM5093,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA,Winter,1,1
MSHM5095,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,2,2
MSHM5096,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,5,2
MSHM5097,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,3,2
MSHM5098,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,1,1
MSHM5099,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,3,2
MSHM5100,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,3,2
MSHM5119,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,1,1
MSHM5120,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,2,1
MSHM5121,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,2,1
MSHM5123,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,2,1
MSHM5126,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,23,PDA+Plant extract,Winter,1,1
MSHM5129,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,23,PDA+Plant extract,Winter,2,1
MSHM5131,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM5132,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,2,1
MSHM5133,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,2,1
MSHM5134,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM5135,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,2,1
MSHM5137,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA,Winter,1,1
MSHM5140,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA,Winter,1,1
MSHM5143,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,1,1
MSHM5144,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,3,2
MSHM5145,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Winter,4,2
MSHM5146,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,1,1
MSHM5147,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,3,2
MSHM5148,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Winter,4,1
MSHM5168,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA,Winter,2,1
MSHM5181,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM5182,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,1,1
MSHM5183,Garmsar,Arid soil,Winter,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Winter,3,1
MSHM5185,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA,Summer,1,1
MSHM5186,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA,Summer,1,1
MSHM5187,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA,Summer,2,1
MSHM5188,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,30,PDA,Summer,2,1
MSHM5189,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,30,PDA,Summer,2,1
MSHM5190,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,30,PDA,Summer,1,1
MSHM5191,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Summer,4,2
MSHM5192,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Summer,5,2
MSHM5193,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Summer,5,2
MSHM5194,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Summer,8,2
MSHM5195,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Summer,5,2
MSHM5196,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Summer,6,2
MSHM5209,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,23,PDA,Summer,1,1
MSHM5210,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,23,PDA,Summer,1,1
MSHM5212,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,23,PDA,Summer,2,1
MSHM5213,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,23,PDA,Summer,1,1
MSHM5215,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA,Summer,3,2
MSHM5216,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA,Summer,2,1
MSHM5217,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA,Summer,3,1
MSHM5218,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA,Summer,1,1
MSHM5219,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA,Summer,6,2
MSHM5220,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA,Summer,5,2
MSHM5222,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,23,PDA+Plant extract,Summer,2,1
MSHM5223,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,23,PDA+Plant extract,Summer,2,1
MSHM5224,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,23,PDA+Plant extract,Summer,2,1
MSHM5225,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,23,PDA+Plant extract,Summer,1,1
MSHM5227,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Summer,4,2
MSHM5228,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Summer,4,2
MSHM5229,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Summer,5,2
MSHM5230,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Summer,4,2
MSHM5231,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Summer,3,1
MSHM5232,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,30,PDA+Plant extract,Summer,7,2
MSHM5233,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA,Summer,1,1
MSHM5234,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA,Summer,3,1
MSHM5235,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA,Summer,1,1
MSHM5236,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,30,PDA,Summer,2,1
MSHM5238,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,30,PDA,Summer,1,1
MSHM5239,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Summer,4,2
MSHM5240,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Summer,5,2
MSHM5241,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,23,PDA+Plant extract,Summer,3,2
MSHM5242,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Summer,6,2
MSHM5243,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Summer,7,2
MSHM5244,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Leaf,30,PDA+Plant extract,Summer,7,2
MSHM5257,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,23,PDA,Summer,1,1
MSHM5258,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,23,PDA,Summer,1,1
MSHM5259,Garmsar,Arid soil,Summer,Eucalyptus camaldulensis,Root,23,PDA,Summer,1,1
